"","order","species","adult_body_mass_g","adult_head_body_len_mm","home_range_km2","litter_size"
"4094","Rodentia","Rattus stoicus",NA,NA,NA,NA
"4095","Rodentia","Rattus tanezumi",140.84,NA,NA,NA
"4096","Rodentia","Rattus tawitawiensis",NA,190,NA,NA
"4097","Rodentia","Rattus timorensis",NA,NA,NA,NA
"4098","Rodentia","Rattus tiomanicus",119.29,190,NA,3.87
"4099","Rodentia","Rattus tunneyi",169.29,151.64,NA,5.34
"4100","Rodentia","Rattus vandeuseni",67.24,135.21,NA,2.15
"4101","Rodentia","Rattus verecundus",97.02,142.51,0.001058952,2.15
"4102","Rodentia","Rattus villosissimus",221.76,186.64,NA,NA
"4103","Rodentia","Rattus xanthurus",NA,NA,NA,NA
"4104","Rodentia","Ratufa affinis",1155.82,343.99,NA,NA
"4105","Rodentia","Ratufa bicolor",1609.08,319.47,NA,1.5
"4106","Rodentia","Ratufa indica",1060,NA,NA,NA
"4107","Rodentia","Ratufa macroura",1326.24,NA,NA,3.49
"4108","Artiodactyla","Redunca arundinum",58059.24,1505,NA,0.98
"4109","Artiodactyla","Redunca fulvorufula",29352.66,1230,0.07,NA
"4110","Artiodactyla","Redunca redunca",43288.95,1150,NA,1
"4111","Rodentia","Reithrodon auritus",79.73,142.5,NA,3.4
"4112","Rodentia","Reithrodon typicus",NA,NA,NA,NA
"4113","Rodentia","Reithrodontomys brevirostris",12.9,72.28,NA,3.4
"4114","Rodentia","Reithrodontomys burti",20,NA,NA,NA
"4115","Rodentia","Reithrodontomys chrysopsis",19,NA,NA,3.4
"4116","Rodentia","Reithrodontomys creper",22.8,89.73,NA,2.21
"4117","Rodentia","Reithrodontomys darienensis",12.99,NA,NA,3.88
"4118","Rodentia","Reithrodontomys fulvescens",11.55,66.99,0.001343843,3.76
"4119","Rodentia","Reithrodontomys gracilis",12.47,72.79,NA,3.11
"4120","Rodentia","Reithrodontomys hirsutus",20,NA,NA,3.88
"4121","Rodentia","Reithrodontomys humulis",8.25,65,0.003188291,2.99
"4122","Rodentia","Reithrodontomys megalotis",10.72,69.62,0.001008937,4.18
"4123","Rodentia","Reithrodontomys mexicanus",15.71,NA,NA,2.91
"4124","Rodentia","Reithrodontomys microdon",20,NA,NA,NA
"4125","Rodentia","Reithrodontomys montanus",10.9,NA,0.002290248,3.94
"4126","Rodentia","Reithrodontomys paradoxus",NA,71.38,NA,NA
"4127","Rodentia","Reithrodontomys raviventris",10.95,70.91,0.001664605,3.88
"4128","Rodentia","Reithrodontomys rodriguezi",NA,NA,NA,NA
"4129","Rodentia","Reithrodontomys spectabilis",20.19,87.83,NA,NA
"4130","Rodentia","Reithrodontomys sumichrasti",19,NA,NA,3.49
"4131","Rodentia","Reithrodontomys tenuirostris",20,87.73,NA,NA
"4132","Rodentia","Reithrodontomys zacatecae",NA,NA,NA,NA
"4133","Rodentia","Rhabdomys dilectus",NA,NA,NA,NA
"4134","Rodentia","Rhabdomys pumilio",40.73,108.81,NA,5.28
"4135","Rodentia","Rhagamys orthodon",NA,NA,NA,NA
"4136","Rodentia","Rhagomys longilingua",NA,NA,NA,NA
"4137","Rodentia","Rhagomys rufescens",21.2,NA,NA,NA
"4138","Rodentia","Rheithrosciurus macrotis",1353.27,406.5,NA,NA
"4139","Rodentia","Rheomys mexicanus",40,NA,NA,NA
"4140","Rodentia","Rheomys raptor",38,NA,NA,0.97
"4141","Rodentia","Rheomys thomasi",40,NA,NA,0.97
"4142","Rodentia","Rheomys underwoodi",NA,NA,NA,NA
"4143","Perissodactyla","Rhinoceros sondaicus",1750000,3099.99,NA,1
"4144","Perissodactyla","Rhinoceros unicornis",1843655.8,3743.39,4.23,1.41
"4145","Chiroptera","Rhinolophus acuminatus",12.1,NA,NA,1
"4146","Chiroptera","Rhinolophus adami",NA,NA,NA,NA
"4147","Chiroptera","Rhinolophus affinis",13.7,NA,NA,0.99
"4148","Chiroptera","Rhinolophus alcyone",18.62,NA,NA,0.98
"4149","Chiroptera","Rhinolophus arcuatus",8.98,NA,NA,NA
"4150","Chiroptera","Rhinolophus beddomei",NA,NA,NA,NA
"4151","Chiroptera","Rhinolophus blasii",10.29,NA,NA,NA
"4152","Chiroptera","Rhinolophus bocharicus",15.05,NA,NA,NA
"4153","Chiroptera","Rhinolophus borneensis",NA,NA,NA,NA
"4154","Chiroptera","Rhinolophus canuti",NA,NA,NA,NA
"4155","Chiroptera","Rhinolophus capensis",12.87,NA,NA,0.99
"4156","Chiroptera","Rhinolophus celebensis",NA,NA,NA,NA
"4157","Chiroptera","Rhinolophus clivosus",NA,NA,NA,NA
"4158","Chiroptera","Rhinolophus coelophyllus",7.07,NA,NA,NA
"4159","Chiroptera","Rhinolophus cognatus",NA,NA,NA,NA
"4160","Chiroptera","Rhinolophus convexus",NA,NA,NA,NA
"4161","Chiroptera","Rhinolophus cornutus",7.27,NA,NA,1
"4162","Chiroptera","Rhinolophus creaghi",NA,NA,NA,NA
"4163","Chiroptera","Rhinolophus darlingi",8.94,NA,NA,1.96
"4164","Chiroptera","Rhinolophus deckenii",NA,NA,NA,NA
"4165","Chiroptera","Rhinolophus denti",6.3,NA,NA,NA
"4166","Chiroptera","Rhinolophus eloquens",19.15,NA,NA,NA
"4167","Chiroptera","Rhinolophus euryale",9.25,NA,NA,1
"4168","Chiroptera","Rhinolophus euryotis",14.3,NA,NA,NA
"4169","Chiroptera","Rhinolophus ferrumequinum",22.59,NA,NA,0.98
"4170","Chiroptera","Rhinolophus formosae",NA,NA,NA,NA
"4171","Chiroptera","Rhinolophus fumigatus",13.09,NA,NA,0.99
"4172","Chiroptera","Rhinolophus guineensis",NA,NA,NA,NA
"4173","Chiroptera","Rhinolophus hildebrandtii",25.99,NA,NA,0.99
"4174","Chiroptera","Rhinolophus hilli",13.6,60.86,NA,NA
"4175","Chiroptera","Rhinolophus hillorum",NA,NA,NA,NA
"4176","Chiroptera","Rhinolophus hipposideros",4.57,38.99,NA,1
"4177","Chiroptera","Rhinolophus imaizumii",NA,NA,NA,NA
"4178","Chiroptera","Rhinolophus inops",13.65,NA,NA,NA
"4179","Chiroptera","Rhinolophus keyensis",6.26,NA,NA,1
"4180","Chiroptera","Rhinolophus landeri",9.39,NA,NA,0.99
"4181","Chiroptera","Rhinolophus lepidus",5.46,NA,NA,1
"4182","Chiroptera","Rhinolophus luctus",34.07,NA,NA,0.99
"4183","Chiroptera","Rhinolophus maclaudi",NA,NA,NA,0.98
"4184","Chiroptera","Rhinolophus macrotis",6.18,NA,NA,0.98
"4185","Chiroptera","Rhinolophus madurensis",NA,NA,NA,NA
"4186","Chiroptera","Rhinolophus maendeleo",NA,NA,NA,NA
"4187","Chiroptera","Rhinolophus malayanus",6.73,NA,NA,NA
"4188","Chiroptera","Rhinolophus marshalli",5.02,NA,NA,NA
"4189","Chiroptera","Rhinolophus megaphyllus",10.17,NA,NA,1
"4190","Chiroptera","Rhinolophus mehelyi",14.03,NA,NA,NA
"4191","Chiroptera","Rhinolophus mitratus",NA,NA,NA,NA
"4192","Chiroptera","Rhinolophus monoceros",NA,NA,NA,NA
"4193","Chiroptera","Rhinolophus montanus",NA,NA,NA,NA
"4194","Chiroptera","Rhinolophus nereis",NA,NA,NA,NA
"4195","Chiroptera","Rhinolophus osgoodi",NA,NA,NA,NA
"4196","Chiroptera","Rhinolophus paradoxolophus",8.17,NA,NA,NA
"4197","Chiroptera","Rhinolophus pearsonii",11.55,NA,NA,NA
"4198","Chiroptera","Rhinolophus philippinensis",10.91,NA,NA,NA
"4199","Chiroptera","Rhinolophus pusillus",5.15,NA,NA,1
"4200","Chiroptera","Rhinolophus rex",NA,NA,NA,NA
"4201","Chiroptera","Rhinolophus robinsoni",8.54,NA,NA,NA
"4202","Chiroptera","Rhinolophus rouxii",12.25,NA,NA,0.99
"4203","Chiroptera","Rhinolophus rufus",NA,NA,NA,NA
"4204","Chiroptera","Rhinolophus ruwenzorii",NA,NA,NA,NA
"4205","Chiroptera","Rhinolophus sakejiensis",NA,NA,NA,NA
"4206","Chiroptera","Rhinolophus sedulus",8.74,NA,NA,NA
"4207","Chiroptera","Rhinolophus shameli",9.61,NA,NA,NA
"4208","Chiroptera","Rhinolophus shortridgei",NA,NA,NA,NA
"4209","Chiroptera","Rhinolophus siamensis",NA,NA,NA,NA
"4210","Chiroptera","Rhinolophus silvestris",NA,NA,NA,NA
"4211","Chiroptera","Rhinolophus simulator",8.13,NA,NA,0.99
"4212","Chiroptera","Rhinolophus sinicus",NA,NA,NA,NA
"4213","Chiroptera","Rhinolophus stheno",7.92,NA,NA,0.98
"4214","Chiroptera","Rhinolophus subbadius",NA,NA,NA,NA
"4215","Chiroptera","Rhinolophus subrufus",NA,NA,NA,NA
"4216","Chiroptera","Rhinolophus swinnyi",7.07,NA,NA,0.98
"4217","Chiroptera","Rhinolophus thomasi",8.26,NA,NA,NA
"4218","Chiroptera","Rhinolophus trifoliatus",15.16,NA,NA,NA
"4219","Chiroptera","Rhinolophus virgo",6.06,NA,NA,NA
"4220","Chiroptera","Rhinolophus yunanensis",19.33,NA,NA,NA
"4221","Chiroptera","Rhinolophus ziama",NA,NA,NA,NA
"4222","Chiroptera","Rhinonicteris aurantia",8.99,49.99,NA,1
"4223","Chiroptera","Rhinophylla alethina",NA,NA,NA,NA
"4224","Chiroptera","Rhinophylla fischerae",9.6,NA,NA,0.98
"4225","Chiroptera","Rhinophylla pumilio",9.58,NA,NA,0.98
"4226","Primates","Rhinopithecus avunculus",9086.19,569.91,NA,1
"4227","Primates","Rhinopithecus bieti",11000.54,718.26,20.4,NA
"4228","Primates","Rhinopithecus brelichi",12267.15,707.14,7.41,1
"4229","Primates","Rhinopithecus roxellana",13456.8,647.1,24.28,1
"4230","Chiroptera","Rhinopoma hardwickii",13.1,59.8,NA,0.99
"4231","Chiroptera","Rhinopoma macinnesi",NA,NA,NA,NA
"4232","Chiroptera","Rhinopoma microphyllum",28.02,61.82,NA,1
"4233","Chiroptera","Rhinopoma muscatellum",9.13,NA,NA,NA
"4234","Rodentia","Rhinosciurus laticaudatus",230.3,210.16,NA,1.39
"4235","Rodentia","Rhipidomys austrinus",89,NA,NA,NA
"4236","Rodentia","Rhipidomys caucensis",89,NA,NA,NA
"4237","Rodentia","Rhipidomys couesi",89,NA,NA,NA
"4238","Rodentia","Rhipidomys emiliae",NA,NA,NA,NA
"4239","Rodentia","Rhipidomys fulviventer",89,NA,NA,NA
"4240","Rodentia","Rhipidomys gardneri",NA,NA,NA,NA
"4241","Rodentia","Rhipidomys latimanus",57.5,NA,NA,NA
"4242","Rodentia","Rhipidomys leucodactylus",NA,NA,NA,NA
"4243","Primates","Saguinus geoffroyi",492.5,NA,0.16,1.97
"4244","Primates","Saguinus graellsi",NA,NA,NA,NA
"4245","Primates","Saguinus imperator",407.91,NA,0.22,NA
"4246","Primates","Saguinus inustus",803,NA,NA,NA
"4247","Primates","Saguinus labiatus",508.46,NA,0.19,1.84
"4248","Primates","Saguinus leucopus",456.68,239.99,NA,2
"4249","Primates","Saguinus martinsi",NA,NA,NA,NA
"4250","Primates","Saguinus melanoleucus",NA,NA,NA,NA
"4251","Primates","Saguinus midas",540.56,264.21,0.05,2.02
"4252","Primates","Saguinus mystax",555.87,NA,0.21,1.93
"4253","Primates","Saguinus niger",NA,NA,NA,NA
"4254","Primates","Saguinus nigricollis",450,NA,0.25,1.82
"4255","Primates","Saguinus oedipus",462.04,239.99,0.06,1.9
"4256","Primates","Saguinus pileatus",NA,NA,NA,NA
"4257","Primates","Saguinus tripartitus",385.05,NA,NA,NA
"4258","Artiodactyla","Saiga borealis",NA,NA,NA,NA
"4259","Artiodactyla","Saiga tatarica",37734.01,1160,NA,1.5
"4260","Primates","Saimiri boliviensis",799.45,309.99,NA,1.02
"4261","Rodentia","Spalax graecus",NA,NA,NA,NA
"4262","Rodentia","Spalax judaei",NA,NA,NA,NA
"4263","Rodentia","Spalax leucodon",188.67,NA,NA,3.24
"4264","Rodentia","Spalax microphthalmus",470,NA,NA,2.91
"4265","Rodentia","Spalax nehringi",NA,NA,NA,NA
"4266","Rodentia","Spalax uralensis",NA,NA,NA,NA
"4267","Rodentia","Spalax zemni",NA,NA,NA,NA
"4268","Rodentia","Spelaeomys florensis",NA,NA,NA,NA
"4269","Carnivora","Speothos venaticus",6324.54,624.73,NA,3.8
"4270","Rodentia","Spermophilopsis leptodactylus",NA,243.27,NA,4.5
"4271","Rodentia","Spermophilus adocetus",155.52,177.47,NA,NA
"4272","Rodentia","Spermophilus alashanicus",NA,NA,NA,NA
"4273","Rodentia","Spermophilus annulatus",499.99,221.13,NA,3.88
"4274","Rodentia","Spermophilus armatus",306.48,219.5,NA,5.4
"4275","Rodentia","Spermophilus atricapillus",550.99,244.66,NA,NA
"4276","Rodentia","Spermophilus beecheyi",597.82,NA,0.000293039,6.71
"4277","Rodentia","Spermophilus beldingi",272.53,236.4,NA,5.71
"4278","Soricomorpha","Sorex planiceps",NA,NA,NA,NA
"4279","Soricomorpha","Sorex portenkoi",NA,NA,NA,NA
"4280","Soricomorpha","Sorex preblei",3.14,53,NA,NA
"4281","Soricomorpha","Sorex pribilofensis",NA,NA,NA,NA
"4282","Soricomorpha","Sorex raddei",NA,NA,NA,2.69
"4283","Soricomorpha","Sorex roboratus",12.99,73.67,NA,7.52
"4284","Soricomorpha","Sorex samniticus",8.24,NA,NA,NA
"4285","Soricomorpha","Sorex satunini",NA,NA,NA,NA
"4286","Soricomorpha","Sorex saussurei",4.65,NA,NA,NA
"4287","Soricomorpha","Sorex sclateri",7,NA,NA,NA
"4288","Soricomorpha","Sorex shinto",NA,63.5,NA,NA
"4289","Soricomorpha","Sorex sinalis",NA,70,NA,NA
"4290","Soricomorpha","Sorex sonomae",8.3,NA,NA,NA
"4291","Soricomorpha","Sorex stizodon",7,NA,NA,NA
"4292","Soricomorpha","Sorex tenellus",3.8,52,NA,NA
"4293","Soricomorpha","Sorex thibetanus",NA,NA,NA,NA
"4294","Soricomorpha","Sorex trowbridgii",5.02,63.99,NA,3.91
"4295","Soricomorpha","Sorex tundrensis",7.65,68.19,NA,8.7
"4296","Soricomorpha","Sorex ugyunak",NA,NA,NA,NA
"4297","Soricomorpha","Sorex unguiculatus",14.11,75.49,8.51806e-05,5.24
"4298","Soricomorpha","Sorex vagrans",5.99,64.51,0.002073312,5.84
"4299","Rodentia","Spermophilus brevicauda",NA,NA,NA,NA
"4300","Rodentia","Spermophilus brunneus",300,180.95,NA,7.5
"4301","Rodentia","Spermophilus canus",NA,NA,NA,NA
"4302","Rodentia","Spermophilus citellus",395.97,198.5,NA,6.48
"4303","Rodentia","Spermophilus columbianus",470.94,295.97,0.001090594,3.54
"4304","Rodentia","Spermophilus dauricus",NA,NA,NA,5.62
"4305","Rodentia","Spermophilus elegans",324.45,NA,0.00191853,5.75
"4306","Primates","Saimiri oerstedii",714.18,282.22,0.1,1.01
"4307","Primates","Saimiri sciureus",749.47,322,0.68,1
"4308","Primates","Saimiri ustus",886.47,309.99,NA,1.02
"4309","Primates","Saimiri vanzolinii",783.77,NA,NA,1.02
"4310","Carnivora","Salanoia concolor",711.49,296.21,NA,NA
"4311","Rodentia","Salinoctomys loschalchalerosorum",NA,NA,NA,NA
"4312","Rodentia","Salinomys delicatus",NA,NA,NA,NA
"4313","Rodentia","Salpingotulus michaelis",NA,NA,NA,3
"4314","Rodentia","Salpingotus crassicauda",NA,NA,NA,2.59
"4315","Rodentia","Salpingotus heptneri",NA,NA,NA,NA
"4316","Rodentia","Salpingotus kozlovi",NA,NA,NA,NA
"4317","Rodentia","Salpingotus pallidus",NA,NA,NA,NA
"4318","Rodentia","Salpingotus thomasi",NA,NA,NA,NA
"4319","Dasyuromorphia","Sarcophilus harrisii",8202.25,557.86,NA,2.88
"4320","Chiroptera","Sauromys petrophilus",14.25,NA,NA,NA
"4321","Soricomorpha","Scalopus aquaticus",87.15,125.21,0.005706842,3.89
"4322","Soricomorpha","Scapanulus oweni",NA,89.34,NA,NA
"4323","Soricomorpha","Scapanus latimanus",62.46,142.31,NA,3.49
"4324","Soricomorpha","Scapanus orarius",62.13,123.44,0.001058952,3.24
"4325","Soricomorpha","Scapanus townsendii",NA,NA,NA,NA
"4326","Rodentia","Scapteromys aquaticus",NA,NA,NA,NA
"4327","Rodentia","Scapteromys tumidus",146,NA,NA,3.63
"4328","Soricomorpha","Scaptochirus moschatus",NA,NA,NA,NA
"4329","Soricomorpha","Scaptonyx fusicaudus",NA,NA,NA,NA
"4330","Rodentia","Sciurillus pusillus",34.91,111.58,NA,1.94
"4331","Rodentia","Sciurotamias davidianus",NA,NA,NA,NA
"4332","Rodentia","Sciurotamias forresti",NA,NA,NA,NA
"4333","Rodentia","Sciurus aberti",622.95,269.29,0.05,3.2
"4334","Rodentia","Sciurus aestuans",177.34,171.48,NA,NA
"4335","Rodentia","Sciurus alleni",465.14,233.91,NA,3
"4336","Rodentia","Sciurus anomalus",NA,NA,NA,4
"4337","Rodentia","Sciurus arizonensis",646.99,263.19,NA,3.09
"4338","Rodentia","Sciurus aureogaster",455.57,251.25,0.01,1.94
"4339","Rodentia","Sciurus carolinensis",545.4,253.48,0.008569038,2.98
"4340","Rodentia","Sciurus colliaei",498,253.14,NA,2.66
"4341","Rodentia","Sciurus deppei",249.5,200.49,0.01,2.91
"4342","Rodentia","Sciurus flammifer",NA,NA,NA,NA
"4343","Rodentia","Sciurus gilvigularis",803,NA,NA,NA
"4344","Rodentia","Sciurus granatensis",318.44,221.71,0.007784702,1.9
"4345","Rodentia","Sciurus griseus",703.85,293.12,0.008025903,2.65
"4346","Rodentia","Sciurus ignitus",190,NA,NA,NA
"4347","Rodentia","Sciurus igniventris",700,NA,NA,NA
"4348","Rodentia","Sciurus lis",264.3,NA,0.13,NA
"4349","Rodentia","Sciurus nayaritensis",697,282.15,NA,2.43
"4350","Rodentia","Sciurus niger",NA,NA,0.23,NA
"4351","Rodentia","Sciurus oculatus",649.98,267.2,NA,NA
"4352","Rodentia","Sciurus pucheranii",803,NA,NA,NA
"4353","Rodentia","Sciurus pyrrhinus",482,NA,NA,NA
"4354","Rodentia","Sciurus richmondi",237.51,194.4,NA,2.59
"4355","Rodentia","Sciurus sanborni",136,NA,NA,NA
"4356","Rodentia","Sciurus spadiceus",403.32,NA,NA,NA
"4357","Rodentia","Sciurus stramineus",433.3,NA,NA,NA
"4358","Rodentia","Sciurus variegatoides",485,262.6,NA,4.99
"4359","Rodentia","Sciurus vulgaris",333,213.17,0.05,4.5
"4360","Rodentia","Sciurus yucatanensis",225,236.86,NA,3
"4361","Chiroptera","Scleronycteris ega",49.54,NA,NA,NA
"4362","Rodentia","Scolomys melanops",26.5,NA,NA,NA
"4363","Rodentia","Scolomys ucayalensis",26.5,NA,NA,NA
"4364","Chiroptera","Scoteanax rueppellii",26.41,NA,NA,1
"4365","Rodentia","Scotinomys teguina",11.59,NA,NA,2.46
"4366","Rodentia","Scotinomys xerampelinus",15.07,NA,NA,3.08
"4367","Chiroptera","Scotoecus albigula",10.08,NA,NA,NA
"4368","Chiroptera","Scotoecus albofuscus",4.5,NA,NA,NA
"4369","Chiroptera","Scotoecus hindei",10.41,NA,NA,NA
"4370","Chiroptera","Scotoecus hirundo",8.45,NA,NA,1.96
"4371","Chiroptera","Scotoecus pallidus",NA,NA,NA,NA
"4372","Chiroptera","Scotomanes ornatus",22.24,NA,NA,NA
"4373","Chiroptera","Scotonycteris ophiodon",69.42,NA,NA,0.98
"4374","Chiroptera","Scotonycteris zenkeri",21.3,NA,NA,0.99
"4375","Chiroptera","Scotophilus borbonicus",19.02,NA,NA,2
"4376","Chiroptera","Scotophilus celebensis",NA,NA,NA,NA
"4377","Chiroptera","Scotophilus collinus",NA,NA,NA,NA
"4378","Chiroptera","Scotophilus dinganii",25.12,NA,NA,2.2
"4379","Chiroptera","Scotophilus heathii",36.13,NA,NA,1.92
"4380","Chiroptera","Scotophilus kuhlii",20.31,NA,NA,1.5
"4381","Chiroptera","Scotophilus leucogaster",20.24,NA,NA,1.38
"4382","Chiroptera","Scotophilus nigrita",27.34,NA,NA,1.5
"4383","Chiroptera","Scotophilus nucella",NA,NA,NA,NA
"4384","Chiroptera","Scotophilus nux",30,NA,NA,NA
"4385","Chiroptera","Scotophilus robustus",NA,152.5,NA,NA
"4386","Chiroptera","Scotophilus viridis",19.81,NA,NA,2
"4387","Chiroptera","Scotorepens balstoni",11.92,NA,NA,1.41
"4388","Chiroptera","Scotorepens greyii",10,NA,NA,NA
"4389","Chiroptera","Scotorepens orion",11.83,NA,NA,NA
"4390","Chiroptera","Scotorepens sanborni",8.13,NA,NA,NA
"4391","Chiroptera","Scotozous dormeri",6.79,NA,NA,1.08
"4392","Soricomorpha","Scutisorex somereni",91.49,NA,NA,1.85
"4393","Rodentia","Sekeetamys calurus",56.61,NA,NA,2.9
"4394","Rodentia","Selevinia betpakdalaensis",17.12,84.99,NA,6.9
"4395","Primates","Semnopithecus ajax",NA,NA,NA,NA
"4396","Primates","Semnopithecus dussumieri",NA,NA,NA,NA
"4397","Primates","Semnopithecus entellus",12679.29,595,1.3,1.02
"4398","Primates","Semnopithecus hector",NA,NA,NA,NA
"4399","Primates","Semnopithecus hypoleucos",10026.65,655,NA,NA
"4400","Primates","Semnopithecus priam",NA,NA,NA,NA
"4401","Primates","Semnopithecus schistaceus",NA,NA,NA,NA
"4402","Afrosoricida","Setifer setosus",263.22,185,NA,3.24
"4403","Diprotodontia","Setonix brachyurus",3027.67,NA,NA,1
"4404","Rodentia","Sicista armenica",NA,NA,NA,NA
"4405","Rodentia","Sicista betulina",8.92,NA,NA,5.29
"4406","Rodentia","Sicista caucasica",NA,NA,NA,NA
"4407","Rodentia","Sicista caudata",NA,NA,NA,NA
"4408","Rodentia","Sicista concolor",NA,NA,NA,NA
"4409","Rodentia","Sicista kazbegica",NA,NA,NA,NA
"4410","Rodentia","Sicista kluchorica",NA,NA,NA,NA
"4411","Rodentia","Sicista napaea",10,NA,NA,3.49
"4412","Rodentia","Sicista pseudonapaea",NA,NA,NA,NA
"4413","Rodentia","Sicista severtzovi",NA,NA,NA,NA
"4414","Rodentia","Sicista strandi",NA,NA,NA,NA
"4415","Rodentia","Sicista subtilis",11.75,NA,NA,NA
"4416","Rodentia","Sicista tianshanica",NA,NA,NA,4.37
"4417","Rodentia","Sigmodon alleni",174.09,170.03,NA,NA
"4418","Rodentia","Sigmodon alstoni",55.7,NA,NA,5.18
"4419","Rodentia","Sigmodon arizonae",198,NA,NA,NA
"4420","Rodentia","Sigmodon fulviventer",195.94,180.35,NA,7.5
"4421","Rodentia","Sigmodon hirsutus",NA,NA,NA,NA
"4422","Rodentia","Sigmodon hispidus",110.65,167.5,0.002399307,5.44
"4423","Rodentia","Sigmodon inopinatus",140.5,NA,NA,NA
"4424","Rodentia","Sigmodon leucotis",131.78,157.25,NA,NA
"4425","Rodentia","Sigmodon mascotensis",120,NA,NA,NA
"4426","Rodentia","Sigmodon ochrognathus",122,151.14,0.001664175,3
"4427","Rodentia","Sigmodon peruanus",NA,NA,NA,NA
"4428","Rodentia","Sigmodon planifrons",NA,NA,NA,NA
"4429","Rodentia","Sigmodon toltecus",NA,NA,NA,NA
"4430","Rodentia","Sigmodon zanjonensis",NA,NA,NA,NA
"4431","Rodentia","Sigmodontomys alfari",NA,NA,NA,NA
"4432","Rodentia","Sigmodontomys aphrastus",NA,NA,NA,NA
"4433","Primates","Simias concolor",7393.9,499.99,0.1,1.02
"4434","Dasyuromorphia","Sminthopsis aitkeni",22.5,NA,NA,NA
"4435","Dasyuromorphia","Sminthopsis archeri",16,92.42,NA,8.15
"4436","Dasyuromorphia","Sminthopsis bindi",NA,NA,NA,NA
"4437","Dasyuromorphia","Sminthopsis boullangerensis",NA,NA,NA,NA
"4438","Dasyuromorphia","Sminthopsis butleri",25,NA,NA,NA
"4439","Dasyuromorphia","Sminthopsis crassicaudata",15.98,NA,NA,6.52
"4440","Dasyuromorphia","Sminthopsis dolichura",14.39,NA,NA,7.2
"4441","Dasyuromorphia","Sminthopsis douglasi",54.99,95,NA,6.78
"4442","Dasyuromorphia","Sminthopsis fuliginosus",NA,NA,NA,NA
"4443","Dasyuromorphia","Sminthopsis gilberti",19.5,NA,NA,NA
"4444","Dasyuromorphia","Sminthopsis granulipes",25,NA,NA,NA
"4445","Dasyuromorphia","Sminthopsis griseoventer",17.5,NA,NA,NA
"4446","Dasyuromorphia","Sminthopsis hirtipes",15,NA,NA,NA
"4447","Dasyuromorphia","Sminthopsis leucopus",23.36,NA,0.008904945,8.4
"4448","Dasyuromorphia","Sminthopsis longicaudata",18,95,NA,4.24
"4449","Dasyuromorphia","Sminthopsis macroura",23.56,NA,NA,7
"4450","Dasyuromorphia","Sminthopsis murina",17,NA,NA,8
"4451","Dasyuromorphia","Sminthopsis ooldea",12.19,NA,NA,7.24
"4452","Dasyuromorphia","Sminthopsis psammophila",33.5,105,NA,5.49
"4453","Dasyuromorphia","Sminthopsis virginiae",35.24,110.07,NA,4.11
"4454","Dasyuromorphia","Sminthopsis youngsoni",11.14,NA,NA,5.49
"4455","Soricomorpha","Solenodon arredondoi",NA,NA,NA,NA
"4456","Soricomorpha","Solenodon cubanus",824.62,349.85,NA,1.5
"4457","Soricomorpha","Solenodon marcanoi",NA,NA,NA,NA
"4458","Soricomorpha","Solenodon paradoxus",899.99,306,NA,1.64
"4459","Soricomorpha","Solisorex pearsoni",NA,NA,NA,NA
"4460","Rodentia","Solomys ponceleti",1000,270,NA,NA
"4461","Rodentia","Solomys salamonis",NA,270,NA,NA
"4462","Rodentia","Solomys salebrosus",397,NA,NA,NA
"4463","Rodentia","Solomys sapientis",NA,270,NA,NA
"4464","Rodentia","Solomys spriggsarum",NA,NA,NA,NA
"4465","Rodentia","Sommeromys macrorhinos",NA,NA,NA,NA
"4466","Soricomorpha","Sorex alaskanus",14,NA,NA,NA
"4467","Soricomorpha","Sorex alpinus",8.04,67.5,NA,5.95
"4468","Soricomorpha","Sorex antinorii",NA,NA,NA,NA
"4469","Soricomorpha","Sorex araneus",9.18,72.78,0.000446055,6.56
"4470","Soricomorpha","Sorex arcticus",8.19,75.06,0.004174389,6.69
"4471","Soricomorpha","Sorex arizonae",2.7,57.98,NA,NA
"4472","Soricomorpha","Sorex arunchi",NA,NA,NA,NA
"4473","Soricomorpha","Sorex asper",NA,65,NA,NA
"4474","Soricomorpha","Sorex averini",NA,NA,NA,NA
"4475","Soricomorpha","Sorex bairdi",8.33,NA,NA,NA
"4476","Soricomorpha","Sorex bedfordiae",NA,68.49,NA,NA
"4477","Soricomorpha","Sorex bendirii",15.76,85.99,NA,NA
"4478","Soricomorpha","Sorex buchariensis",NA,NA,NA,NA
"4479","Soricomorpha","Sorex caecutiens",6.3,66.12,0.000203282,7.24
"4480","Soricomorpha","Sorex camtschatica",NA,NA,NA,NA
"4481","Soricomorpha","Sorex cansulus",NA,80,NA,5.49
"4482","Soricomorpha","Sorex cinereus",4.2,57.2,0.004044228,6.49
"4483","Soricomorpha","Sorex coronatus",9.32,72.99,0.0003073,4.94
"4484","Soricomorpha","Sorex cylindricauda",NA,NA,NA,4.99
"4485","Soricomorpha","Sorex daphaenodon",8.1,71.28,NA,5.99
"4486","Soricomorpha","Sorex dispar",4.99,63.09,NA,4.18
"4487","Soricomorpha","Sorex emarginatus",7,NA,NA,NA
"4488","Soricomorpha","Sorex excelsus",NA,NA,NA,NA
"4489","Soricomorpha","Sorex fumeus",7.83,72.07,NA,5.49
"4490","Soricomorpha","Sorex gaspensis",3.35,55.3,NA,5.33
"4491","Soricomorpha","Sorex gracillimus",4.4,53.5,0.000316461,4.58
"4492","Soricomorpha","Sorex granarius",6.39,63.1,NA,4.89
